Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,VelocityX,VelocityY,VelocityZ,AccelerationX,AccelerationY,AccelerationZ,MassFuel,MassStructural,CsArea,Cd,Thrust,ForceThrustX,ForceThrustY,ForceThrustZ,Isp,EngineAngleX,EngineAngleY
0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 7.41, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.05,0, 0, 0.178345, 0, 0, 0, 0, 0, 3.5669, 0, 0, 71.338, 3.1839, 7.3939, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.1,0, 0, 0.535461, 0, 0, 0, 0, 0, 7.14232, 0, 0, 71.5084, 3.1678, 7.3778, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.15,0, 0, 1.07174, 0, 0, 0, 0, 0, 10.7256, 0, 0, 71.6661, 3.1517, 7.3617, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.2,0, 0, 1.78755, 0, 0, 0, 0, 0, 14.3162, 0, 0, 71.811, 3.1356, 7.3456, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.25,0, 0, 2.68322, 0, 0, 0, 0, 0, 17.9133, 0, 0, 71.9428, 3.1195, 7.3295, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.3,0, 0, 3.75904, 0, 0, 0, 0, 0, 21.5164, 0, 0, 72.0614, 3.1034, 7.3134, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.35,0, 0, 5.01527, 0, 0, 0, 0, 0, 25.1247, 0, 0, 72.1668, 3.08729, 7.29729, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.4,0, 0, 6.45215, 0, 0, 0, 0, 0, 28.7377, 0, 0, 72.2586, 3.07119, 7.28119, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.45,0, 0, 8.06988, 0, 0, 0, 0, 0, 32.3545, 0, 0, 72.3369, 3.05509, 7.26509, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.5,0, 0, 9.86861, 0, 0, 0, 0, 0, 35.9746, 0, 0, 72.4016, 3.03899, 7.24899, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.55,0, 0, 11.8485, 0, 0, 0, 0, 0, 39.5972, 0, 0, 72.4524, 3.02289, 7.23289, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.6,0, 0, 14.0096, 0, 0, 0, 0, 0, 43.2217, 0, 0, 72.4894, 3.00679, 7.21679, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.65,0, 0, 16.3519, 0, 0, 0, 0, 0, 46.8473, 0, 0, 72.5124, 2.99069, 7.20069, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.7,0, 0, 18.8756, 0, 0, 0, 0, 0, 50.4734, 0, 0, 72.5215, 2.97459, 7.18459, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.75,0, 0, 21.5805, 0, 0, 0, 0, 0, 54.0992, 0, 0, 72.5165, 2.95849, 7.16849, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.8,0, 0, 24.4667, 0, 0, 0, 0, 0, 57.7241, 0, 0, 72.4974, 2.94239, 7.15239, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.85,0, 0, 27.5341, 0, 0, 0, 0, 0, 61.3473, 0, 0, 72.4641, 2.92629, 7.13629, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.9,0, 0, 30.7825, 0, 0, 0, 0, 0, 64.9681, 0, 0, 72.4168, 2.91019, 7.12019, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
0.95,0, 0, 34.2118, 0, 0, 0, 0, 0, 68.5859, 0, 0, 72.3553, 2.89409, 7.10409, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1,0, 0, 37.8218, 0, 0, 0, 0, 0, 72.1998, 0, 0, 72.2797, 2.87798, 7.08798, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.05,0, 0, 41.6123, 0, 0, 0, 0, 0, 75.8093, 0, 0, 72.19, 2.86188, 7.07188, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.1,0, 0, 45.583, 0, 0, 0, 0, 0, 79.4137, 0, 0, 72.0862, 2.84578, 7.05578, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.15,0, 0, 49.7336, 0, 0, 0, 0, 0, 83.0121, 0, 0, 71.9684, 2.82968, 7.03968, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.2,0, 0, 54.0638, 0, 0, 0, 0, 0, 86.6039, 0, 0, 71.8367, 2.81358, 7.02358, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.25,0, 0, 58.5732, 0, 0, 0, 0, 0, 90.1885, 0, 0, 71.691, 2.79748, 7.00748, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.3,0, 0, 63.2614, 0, 0, 0, 0, 0, 93.765, 0, 0, 71.5316, 2.78138, 6.99138, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.35,0, 0, 68.1281, 0, 0, 0, 0, 0, 97.333, 0, 0, 71.3585, 2.76528, 6.97528, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.4,0, 0, 73.1727, 0, 0, 0, 0, 0, 100.892, 0, 0, 71.1718, 2.74918, 6.95918, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.45,0, 0, 78.3947, 0, 0, 0, 0, 0, 104.44, 0, 0, 70.9716, 2.73308, 6.94308, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.5,0, 0, 83.7936, 0, 0, 0, 0, 0, 107.978, 0, 0, 70.7581, 2.71698, 6.92698, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.55,0, 0, 89.3688, 0, 0, 0, 0, 0, 111.505, 0, 0, 70.5313, 2.70088, 6.91088, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.6,0, 0, 95.1198, 0, 0, 0, 0, 0, 115.019, 0, 0, 70.2916, 2.68477, 6.89477, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.65,0, 0, 101.046, 0, 0, 0, 0, 0, 118.521, 0, 0, 70.039, 2.66867, 6.87867, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.7,0, 0, 107.146, 0, 0, 0, 0, 0, 122.01, 0, 0, 69.7736, 2.65257, 6.86257, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.75,0, 0, 113.421, 0, 0, 0, 0, 0, 125.485, 0, 0, 69.4958, 2.63647, 6.84647, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
1.8,0, 0, 119.868, 0, 0, 0, 0, 0, 128.945, 0, 0, 69.2057, 2.62037, 6.83037, 0.0079, 0.8, 600, 0, 0, 600, 190, 0, 0
